
Gurobi 11.0.2 (win64) logging started Fri Oct 18 16:25:27 2024

Set parameter LogFile to value "Z:\PyHub\PyHub_results\CM\Cluster_integration\Zeeland_ammonia\20241018162155_minE_refCO2tax-1\solver_log.txt"
Set parameter TimeLimit to value 345600
Set parameter MIPGap to value 0.01
Set parameter NodefileStart to value 60
Set parameter LPWarmStart to value 0
Gurobi Optimizer version 11.0.2 build v11.0.2rc0 (win64 - Windows Server 2019.0 (17763.2))

CPU model: QEMU Virtual CPU version 2.5+, instruction set [SSE2]
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads

Optimize a model with 2435629 rows, 2345993 columns and 5642643 nonzeros
Model fingerprint: 0x2e55a1b9
Variable types: 2341183 continuous, 4810 integer (4810 binary)
Coefficient statistics:
  Matrix range     [2e-05, 1e+08]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 3e+08]
  RHS range        [1e+00, 1e+08]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Presolve removed 2178573 rows and 2191890 columns
Presolve time: 3.91s
Presolved: 257056 rows, 154103 columns, 956792 nonzeros
Variable types: 149774 continuous, 4329 integer (4329 binary)
Deterministic concurrent LP optimizer: primal and dual simplex
Showing primal log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
Waiting for other threads to finish...        1419s
Waiting for other threads to finish...        1491s
Concurrent spin time: 291.29s (can be avoided by choosing Method=3)

Solved with primal simplex
  224859    9.6417152e+04   0.000000e+00   0.000000e+00   1494s

Root relaxation: objective 9.641715e+04, 224859 iterations, 1481.11 seconds (670.19 work units)
Total elapsed time = 1493.94s (DegenMoves)
Total elapsed time = 1499.36s (DegenMoves)
Total elapsed time = 1501.44s (DegenMoves)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 96417.1518    0  322          - 96417.1518      -     - 1503s
     0     0 101720.890    0  420          - 101720.890      -     - 1700s
     0     0 101740.340    0  407          - 101740.340      -     - 1723s
     0     0 101740.340    0  412          - 101740.340      -     - 1725s
     0     0 101740.340    0  413          - 101740.340      -     - 1726s
     0     0 104214.572    0  389          - 104214.572      -     - 1837s
     0     0 104224.322    0  390          - 104224.322      -     - 1857s
     0     0 104224.322    0  389          - 104224.322      -     - 1864s
     0     0 104224.322    0  392          - 104224.322      -     - 1868s
     0     0 104305.343    0  407          - 104305.343      -     - 1902s
     0     0 104306.840    0  405          - 104306.840      -     - 1926s
     0     0 104306.975    0  404          - 104306.975      -     - 1929s
     0     0 104312.569    0  403          - 104312.569      -     - 1937s
     0     0 104316.201    0  406          - 104316.201      -     - 1949s
     0     0 104316.201    0  405          - 104316.201      -     - 1953s
     0     0 104317.274    0  400          - 104317.274      -     - 1967s
     0     0 104317.274    0  405          - 104317.274      -     - 1969s
     0     0 104322.477    0  404          - 104322.477      -     - 1990s
     0     0 104322.477    0  405          - 104322.477      -     - 1991s
     0     0 104322.477    0  404          - 104322.477      -     - 2263s
     0     2 104322.477    0  404          - 104322.477      -     - 2335s
     1     5 104330.990    1  373          - 104322.477      -  2486 2373s
     3     6 104342.788    2  381          - 104334.753      -  2233 2409s
     7    10 104359.828    3  378          - 104344.706      -  1496 3303s
    13    16 104364.932    4  398          - 104360.835      -  7256 4407s
    21    24 104373.077    5  398          - 104364.935      -  9427 4537s
    29    32 104434.379    5  380          - 104373.283      -  8004 4869s
    37    40 104386.444    6  396          - 104374.344      -  7705 8444s
    45    48 111011.026    6  337          - 104387.368      - 12918 8979s
    55    60 104400.973    7  393          - 104389.299      - 10849 9621s
    67    72 104442.298    9  398          - 104389.299      -  9662 9863s
    79    84 104537.428   11  401          - 104389.299      -  8411 12221s
    91    94 118842.323   12  287          - 104389.299      - 10542 14430s
   105   106 104582.941   12  418          - 104389.299      - 11522 14597s
   119   118 104645.571   13  417          - 104389.299      - 10493 18104s
   135   132 104773.837   15  417          - 104389.299      - 10850 18318s
   153   143 104883.083   17  408          - 104389.299      -  9869 18516s
   174   156 104982.205   19  408          - 104389.299      -  8990 23701s
   195   170 infeasible   21               - 104389.299      -  9839 24163s
   227   186 infeasible   23               - 104389.299      -  8883 24649s
   251   202 infeasible   24               - 104389.299      -  8469 26300s
   277   225 107466.733   26  367          - 104389.299      -  8259 27129s
   304   252 109036.588   28  388          - 104389.299      -  8171 27666s
   339   286 111407.556   30  397          - 104389.299      -  7793 28024s
   382   325 114244.189   31  387          - 104389.299      -  7274 28837s
   427   365 infeasible   31               - 104389.299      -  6799 29406s
   481   411 infeasible   32               - 104389.299      -  6357 35695s
   535   456 infeasible   33               - 104389.299      -  6490 37053s
   600   504 infeasible   34               - 104389.299      -  6070 37893s
   658   565 infeasible   35               - 104389.299      -  5888 43856s
   725   616 infeasible   37               - 104389.299      -  6517 46987s
   801   671 infeasible   39               - 104389.299      -  6280 58623s
   865   713 infeasible   40               - 104389.299      -  7253 70505s
   933   773 infeasible   41               - 104389.299      -  8202 82873s
  1011   849 574661.161   42  167          - 104389.299      -  8961 90524s
  1099   913 infeasible   42               - 104389.299      -  9286 104253s
  1191   991 infeasible   43               - 104389.299      - 10519 111546s
  1309  1020 infeasible   11               - 104429.171      - 10485 121936s
  1362  1079 116226.321   11  286          - 104429.171      - 11480 128868s
  1459  1104 133780.531   21  231          - 104429.171      - 11675 138339s
  1528  1154 170974.398   28  245          - 104429.171      - 12720 144701s
  1632  1214 infeasible   29               - 104429.171      - 12754 153253s
  1716  1292 171039.408   29  241          - 104429.171      - 13015 159237s
  1852  1344 249815.792   31  206          - 104429.171      - 13032 166429s
  1929  1345 106538.859   59  720          - 104429.171      - 13224 166432s
  1931  1346 104611.132   11  322          - 104429.171      - 13210 168157s
